Maj  	Min  	Conv    	Obj  	Step    	LS  	Optimal 	Feasible	Objective     	Merit         	Scaling 	Penalty 	nI   	mA   	dHd      	dMag     	
0    	0    	0.0e+00 	1    	0.0e+00 	N/A 	9.5e+02 	0.0e+00 	7.5160000e+03 	0.0000000e+00 	1.0e+00 	1.0e-02 	5    	3    	0.0e+00  	0.0e+00  	
1    	14   	3.1e-10 	7    	1.8e-02 	QI2 	3.8e+02 	5.3e-15 	4.4359690e+03 	4.4359690e+03 	1.0e+00 	1.0e-02 	5    	3    	-6.5e+05 	8.0e+02  	
2    	10   	2.5e-12 	8    	1.0e+00 	N/A 	1.9e+02 	1.6e-12 	4.1841593e+03 	4.1841593e+03 	4.4e-03 	1.0e-02 	5    	3    	-4.7e+02 	2.0e+00  	
3    	10   	1.1e-09 	9    	1.0e+00 	N/A 	1.8e+02 	9.4e-10 	3.9136685e+03 	3.9136685e+03 	3.0e-03 	1.0e-02 	5    	3    	-2.8e+02 	1.5e+00  	
4    	11   	4.0e-10 	10   	1.0e+00 	N/A 	8.9e+01 	1.5e-10 	6.1376480e+02 	6.1376480e+02 	9.2e-03 	1.0e-02 	5    	3    	-4.9e+03 	2.7e+01  	
5    	13   	6.0e-09 	11   	1.0e+00 	N/A 	9.9e+01 	6.5e-10 	7.3017413e+01 	7.3017413e+01 	1.3e-01 	1.0e-02 	5    	3    	-1.1e+03 	1.5e+01  	
6    	13   	7.8e-09 	12   	1.0e+00 	N/A 	5.4e+01 	2.6e-09 	2.9132021e+01 	2.9132021e+01 	7.5e-02 	1.0e-02 	5    	3    	-6.1e+01 	8.8e-01  	
7    	10   	5.6e-10 	13   	1.0e+00 	N/A 	1.9e+01 	2.3e-09 	8.5413425e+00 	8.5413425e+00 	7.4e-03 	1.0e-02 	5    	3    	-3.2e+01 	1.2e+00  	
8    	11   	9.0e-09 	14   	1.0e+00 	N/A 	8.3e+00 	1.3e-08 	3.2852634e+00 	3.2852635e+00 	1.9e-02 	1.0e-02 	5    	3    	-7.4e+00 	5.5e-01  	
9    	12   	2.2e-09 	15   	1.0e+00 	N/A 	3.7e+00 	1.9e-09 	1.0666646e+00 	1.0666646e+00 	2.7e-02 	1.0e-02 	5    	3    	-3.2e+00 	5.6e-01  	
10   	11   	2.3e-11 	16   	1.0e+00 	N/A 	1.7e+00 	4.7e-12 	2.9452515e-01 	2.9452515e-01 	5.8e-02 	1.0e-02 	5    	3    	-1.1e+00 	4.3e-01  	
11   	12   	7.0e-09 	17   	1.0e+00 	N/A 	6.0e-01 	1.3e-09 	4.4134498e-02 	4.4134498e-02 	1.4e-01 	1.0e-02 	5    	3    	-3.8e-01 	3.3e-01  	
12   	12   	6.1e-10 	18   	1.0e+00 	N/A 	1.0e-01 	3.3e-11 	1.3485127e-03 	1.3485127e-03 	2.8e-01 	1.0e-02 	5    	3    	-7.4e-02 	1.8e-01  	
13   	9    	8.4e-09 	19   	1.0e+00 	N/A 	2.8e-03 	4.8e-10 	1.0926103e-06 	1.0926104e-06 	3.7e-01 	1.0e-02 	5    	3    	-2.6e-03 	3.7e-02  	
14   	9    	7.0e-09 	20   	1.0e+00 	N/A 	1.8e-05 	3.2e-10 	4.8898299e-11 	4.8893844e-11 	3.8e-01 	1.0e-02 	5    	3    	-2.2e-06 	1.1e-03  	
15   	7    	3.2e-09 	21   	1.0e+00 	N/A 	2.2e-06 	2.3e-10 	7.3380817e-13 	7.3450600e-13 	4.0e-01 	1.0e-02 	5    	3    	-8.6e-11 	4.4e-06  	
16   	8    	5.0e-09 	22   	1.0e+00 	N/A 	5.9e-09 	7.1e-10 	2.5363806e-18 	5.5327793e-18 	2.0e-01 	1.0e-02 	5    	3    	-1.5e-12 	5.5e-07  	
